category,temp,datetime
cool,55,2011-06-04 09:30:00
warm,60,2011-06-05 09:30:01
warm,65,2011-06-06 13:30:02
warm,70,2011-06-06 13:30:03
hot,75,2011-06-06 13:30:04
hot,80,2011-06-06 13:30:05
hot,75,2011-06-06 13:30:06
hot,75,2011-06-06 13:30:07
warm,65,2011-06-06 13:30:08
warm,60,2011-06-06 13:30:09
cool,55,2011-06-06 13:30:10
cold,50,2011-06-06 13:30:11
cold,45,2011-06-06 13:30:12
cold,40,2011-06-06 13:30:13
cold,35,2011-06-06 13:30:14
cold,35,2011-06-06 13:30:15
cold,35,2011-06-06 13:30:16
cold,40,2011-06-06 13:30:17
cold,45,2011-06-06 13:30:18
cold,50,2011-06-06 13:30:19
