category,temp,datetime
cool,55,Jun.4.2011 10:30
warm,60,6/5/11 11:00 AM
warm,65,Jun.6.2011 10:30
warm,70,Jun.7.2011 11:00
hot,75,Jun.8.2011 11:30
hot,80,Jun.9.2011 12:00
hot,75,Jun.10.2011 12:30
hot,75,Jun.6.2011 10:30
warm,65,Jun.6.2011 10:31
warm,60,6/7/11 11:00 AM
cool,55,6/8/11 11:45 AM
cold,50,6/9/11 12:00 PM
cold,45,6/10/11 12:30 PM
cold,40,6/11/11 1:00 PM
cold,35,6/12/11 1:40 PM
cold,35,6/13/11 3:10 PM
cold,35,6/20/11 3:50 PM
cold,40,6/21/11 6:34 PM
cold,45,6/22/11 8:32 PM
cold,50,Jun.23.2011 19:00
